OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,14,2427,באר שבע,מגורים,4503,425791,מגורים,9000,1,0,3,28,2,2,20,9,31,26,0,0,0,17,20,32.880015661219041,202308,2843.367483875177186,425790.551447716134135
-1,0,1441,דייר ראפאת גבעת שמש צרעה ישעי,מגורים+מוסדי,1836,20414042,מגורים,0,1,,,,,,,,,,,,,,,0.000000000000000,202308,22800.734441229309596,20414041.682770095765591
-1,6,392,רעננה,מגורים,3868,242682,מגורים,8700,1,0,0,6,2,0,4,2,6,9,1,0,0,4,9,24.723696222773309,202308,2093.824279100157582,242682.159897811885457
-1,14,1059,ירושלים,מגורים,5549,380336,מגורים,3000,1,0,1,19,7,5,13,2,20,20,4,0,0,11,18,36.809593653265196,202308,3584.469548801222118,380335.630213025433477
-1,26,10,תל אביב -יפו,מגורים,6204,697440,מגורים,5000,1,1,4,32,3,3,26,8,37,52,7,0,1,24,40,37.279206268071789,202308,4784.687852188391844,697439.741957918391563
-1,5,1701,חיפה,מגורים,5033,289178,מגורים,4000,1,0,0,5,2,1,2,2,5,10,2,0,0,8,10,17.290369077612322,202308,2390.180193914125539,289178.326822070637718
-1,46,652,כפר סבא,תעשיה,0,927334,תעשיה/מסחר/מתקנים,6900,4,0,2,69,8,5,57,9,71,88,5,0,2,48,64,49.604566298927097,202308,5775.978781535558483,927333.982174035045318
-1,16,2264,בנימינה-גבעת עדה*,מגורים,4379,12007929,מגורים,0,1,0,3,26,1,7,19,3,29,29,0,2,0,19,23,1.332452938694341,202308,19375.652612706249784,12007928.787097169086337
-1,0,1294,מעלה אדומים,מגורים,2416,373034,מגורים,0,1,,,,,,,,,,,,,,,0.000000000000000,202308,2817.953901495995979,373033.872543741890695
-1,2,501,נס ציונה,מגורים,6295,3069094,מגורים,7200,1,0,0,2,0,0,2,0,2,6,1,0,0,1,2,0.651658099291292,202308,7503.073847546777870,3069094.057413070928305
-1,3,1920,נצרת,מגורים,5008,388099,מגורים,7300,1,0,0,7,1,4,2,1,7,5,0,0,0,2,2,7.729994844120397,202308,2918.500553367757675,388098.577100845694076
-1,4,119,תל אביב -יפו,מגורים,5121,414942,מגורים,5000,1,0,0,5,3,0,4,1,5,7,1,0,1,3,6,9.639908153097123,202308,4326.211432710263580,414941.712770870595705
-1,0,1538,ענתא,לא ידוע,0,3231072,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202308,7311.864979346601103,3231072.166436061728746
-1,50,2499,אשקלון,מגורים,5046,1022388,מגורים,7100,1,3,8,101,9,27,68,17,112,109,1,1,1,55,76,48.905124140044180,202308,4197.886977335359006,1022387.753414561273530
-1,3,745,מודיעין-מכבים-רעות*,מגורים,9117,944055,מגורים,1200,1,0,1,5,0,1,5,0,6,4,0,0,0,4,4,3.177782355354415,202308,5112.204669201886645,944054.584148955415003
-1,79,2117,פרוד כפר שמאי שפר אמירים כפר חנניה,מגורים,3092,43622144,מגורים,0,1,3,28,217,0,54,177,17,248,163,4,5,0,116,143,1.811006806168159,202308,33663.671034222054004,43622144.174683213233948
-1,3,1387,בית שמש,מגורים,2406,205362,מגורים,2610,1,0,1,2,2,0,3,0,3,4,0,0,0,4,4,14.608383040212026,202308,2378.404844161399069,205361.537395480147097
-1,0,338,בת ים,בית עלמין,0,895119,מוסדי/ציבורי,6200,2,,,,,,,,,,,,,,,0.000000000000000,202308,4868.997556998736400,895119.141868847305886
-1,2,2029,ירכא,מגורים,5916,2486398,מגורים,502,1,0,0,5,0,4,1,0,5,3,0,0,0,1,1,0.804376290532625,202308,7600.339418858038698,2486398.497245216742158
-1,1,980,קדימה-צורן,שטח פתוח,0,1175530,פנאי/טבע/ספורט,195,3,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0.850680070336816,202308,5132.945947492902633,1175530.066907600499690
-1,0,1647,תפוח,לא ידוע,0,7435054,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202308,10705.715878634820911,7435054.063456912524998
-1,75,2336,חיפה,תעשיה+ מכללה,0,2917108,תעשיה/מסחר/מתקנים,4000,4,0,14,126,11,13,111,15,140,152,9,5,4,88,124,25.710395119315205,202308,7713.120988536544246,2917108.027781940065324
-1,2,598,רחובות,מגורים,4335,783535,מגורים,8400,1,0,0,2,0,0,0,2,2,4,0,0,1,2,4,2.552534373650426,202308,4073.654410692567581,783534.991985147469677
-1,13,1224,ירושלים,מגורים,2858,251461,מגורים,3000,1,0,1,24,2,7,15,3,25,24,2,0,0,16,21,51.697809650396067,202308,2631.835530752842260,251461.330526609759545
-1,32,191,רמת גן,מגורים,6619,248393,מגורים,8600,1,1,5,38,14,8,26,10,44,49,6,2,1,17,32,128.828107241497094,202308,2169.748272048206672,248392.999673695536330
-1,33,1866,זכרון יעקב,מגורים,6388,3802911,מגורים,9300,1,1,7,46,7,9,39,5,54,65,3,1,2,35,49,8.677563008653159,202308,15738.772377212522770,3802911.020881416741759
-1,24,817,קריית עקרון,תעשיה,0,625455,תעשיה/מסחר/מתקנים,469,4,0,4,47,2,9,28,14,51,48,2,5,0,31,47,38.372046476477067,202308,4751.787507099764298,625455.304155136574991
-1,7,2189,רחוב תל תאומים רוויה שדי תרומות,מגורים,1836,8500433,מגורים,0,1,0,2,20,0,7,13,2,22,15,0,1,0,11,12,0.823487512110439,202308,14022.419828310770754,8500432.486292790621519
-1,0,1459,ביתר עילית,מגורים,12637,554439,מגורים,0,1,,,,,,,,,,,,,,,0.000000000000000,202308,3927.531065987717739,554439.039319704053923
-1,15,410,פתח תקווה,תעשיה,0,1787895,תעשיה/מסחר/מתקנים,7900,4,1,4,16,0,3,17,1,21,31,6,2,0,19,29,8.389753794798677,202308,5884.785922156876040,1787895.135766608407721
-1,1,1077,ירושלים,מגורים,4667,276936,מגורים,3000,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,3.610943039794630,202308,2161.807039167943458,276935.966305598209146
-1,17,28,תל אביב -יפו,מגורים,5941,575493,מגורים,5000,1,0,7,14,10,1,11,8,21,24,3,0,0,14,20,29.539877871687903,202308,3687.021814710004492,575493.239133985131048
-1,14,1719,חיפה,מגורים,6207,1071113,מגורים,4000,1,0,3,19,4,7,12,3,22,28,5,0,0,17,24,13.070515739388759,202308,5122.911529958726533,1071113.051630410132930
-1,46,670,נתניה,מגורים,8356,654444,מגורים,7400,1,0,5,50,33,6,31,17,55,70,6,0,2,34,51,70.288628469265689,202308,5107.346736242129737,654444.410166772548109
-1,33,2282,חדרה,מגורים,13322,7127143,מגורים,6500,1,0,7,42,8,13,28,7,49,58,5,0,2,34,44,4.630185995514264,202308,13253.427798513546804,7127143.495308931916952
-1,0,1296,מחנה ישי מגורים,לא ידוע,0,748323,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202308,3426.006081243367134,748323.245215061819181
-1,13,263,גבעתיים,מגורים,3765,275529,מגורים,6300,1,0,4,10,2,3,11,0,14,25,6,0,0,6,12,47.181945589192765,202308,2654.794116152616880,275529.121100459829904
-1,3,1938,נצרת,מגורים,3502,332086,מגורים,7300,1,0,1,6,0,2,3,2,7,6,2,0,0,2,6,9.033814577867510,202308,5008.947268614211680,332085.629402875085361
-1,10,121,תל אביב -יפו,מגורים,5115,238191,מגורים,5000,1,0,2,10,4,3,7,2,12,16,1,0,3,6,12,41.983091044556794,202308,2129.891138910657901,238191.132458231004421
