OID,SUMACCIDEN,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,AreaSQKM,YEARMONTH,Shape_Length,Shape_Area
-1,83,בני עי""ש,1066,מועצה מקומית,מרכז,בני עי""ש,1066,1,5,100,13,17,74,12,106,147,7,5,4,87,124,101.567132035977522,0.817193498883078,202308,6232.145234266112311,817193.498883077641949
-1,57,בית-קמה,598,מועצה אזורית,דרום,בני שמעון,5541,1,5,93,0,13,79,5,99,112,2,3,0,69,88,10.137331263583413,5.622781629398116,202308,13556.254119796791201,5622781.629398115910590
-1,39,ברוש,2060,מועצה אזורית,דרום,בני שמעון,5541,3,5,94,0,21,70,11,102,78,0,5,0,52,63,16.790986375187323,2.322674745161593,202308,8043.324550356531290,2322674.745161592960358
-1,6,גבעות בר,1344,מועצה אזורית,דרום,בני שמעון,5541,0,1,11,1,3,8,1,12,11,0,0,0,7,9,9.326210365147492,0.643348130171103,202308,4115.696959279503972,643348.130171103170142
-1,13,דבירה,849,מועצה אזורית,דרום,בני שמעון,5541,0,1,21,1,5,15,1,22,20,3,1,0,12,17,1.529552410051787,8.499218408318452,202308,13353.877745546469669,8499218.408318452537060
-1,14,חצרים,397,מועצה אזורית,דרום,בני שמעון,5541,0,2,13,0,0,12,2,15,17,7,0,0,4,14,1.742095670876759,8.036298025443173,202308,15187.534500657422541,8036298.025443173944950
-1,28,כרמים,1198,מועצה אזורית,דרום,בני שמעון,5541,0,2,41,0,11,27,2,43,51,0,2,0,24,36,4.409096582912727,6.350507291791442,202308,17860.856571046519093,6350507.291791441850364
-1,21,להב,2023,מועצה אזורית,דרום,בני שמעון,5541,0,5,34,0,7,29,3,39,38,2,0,1,21,31,2.478649040435615,8.472357182245259,202308,11760.435046251011954,8472357.182245260104537
-1,24,משמר הנגב,395,מועצה אזורית,דרום,בני שמעון,5541,2,9,41,0,10,38,4,52,44,0,5,1,25,38,2.904772098173838,8.262266087962026,202308,11954.959667696441102,8262266.087962024845183
-1,45,נבטים,396,מועצה אזורית,דרום,בני שמעון,5541,1,3,67,3,17,49,5,71,73,0,5,1,37,64,5.834317219114831,7.712984794958971,202308,13723.301079045162624,7712984.794958971440792
-1,21,שובל,394,מועצה אזורית,דרום,בני שמעון,5541,2,2,29,0,5,26,2,33,37,1,2,0,20,32,3.066376709684314,6.848473618286114,202308,12904.094498788426790,6848473.618286114186049
-1,5,שומריה,1265,מועצה אזורית,דרום,בני שמעון,5541,0,1,16,0,6,10,1,17,10,0,0,1,7,8,0.744911976290064,6.712202460352219,202308,11639.727305740630982,6712202.460352218709886
-1,1246,שטח כללי,5541,מועצה אזורית,דרום,בני שמעון,5541,28,100,1999,15,287,1676,119,2127,2423,29,128,4,1339,1852,4.229214156190452,294.617381381878033,202308,310074.977403973985929,294617381.381878018379211
-1,1,תאשור,2062,מועצה אזורית,דרום,בני שמעון,5541,0,1,1,0,0,1,1,2,2,0,0,0,1,2,0.353613387463815,2.827947231218246,202308,7594.128311211075925,2827947.231218245811760
-1,40,תדהר,2061,מועצה אזורית,דרום,בני שמעון,5541,1,8,72,2,17,58,6,81,72,2,3,0,37,53,10.522988186728355,3.801201644457626,202308,10330.916025265270946,3801201.644457626156509
-1,365,בנימינה - גבעת עדה,9800,מועצה מקומית,חיפה,בנימינה - גבעת עדה,9800,1,18,500,28,79,398,40,519,672,22,17,17,411,535,14.960983621203553,24.396791630912645,202308,33370.878197365396773,24396791.630912646651268
-1,210,בסמ""ה,1326,מועצה מקומית,חיפה,בסמ""ה,1326,1,5,329,42,65,239,27,335,324,6,5,3,190,272,37.476688867684111,5.603483294413492,202308,21808.036380418852787,5603483.294413492083549
-1,77,בסמת טבעון,944,מועצה מקומית,צפון,בסמת טבעון,0944,0,3,110,10,28,81,3,113,121,4,3,2,77,102,19.594611111062175,3.929651860073380,202308,16616.546986746099719,3929651.860073380172253
-1,232,בענה,483,מועצה מקומית,צפון,בענה,0483,0,3,467,27,117,333,16,470,420,7,6,1,272,336,67.081479346985191,3.458480675418001,202308,9921.238983698700395,3458480.675418000668287
-1,75,בית אלעזרי,562,מועצה אזורית,מרכז,ברנר,5528,3,3,102,2,9,79,18,108,148,7,4,1,82,118,6.860262376565736,10.932526466654643,202308,15083.377600768308184,10932526.466654643416405
-1,3,בניה,685,מועצה אזורית,מרכז,ברנר,5528,0,0,3,0,0,2,0,3,6,0,0,0,6,6,0.912168130476294,3.288867369695904,202308,8300.997748520658206,3288867.369695903733373
-1,97,גבעת ברנר,147,מועצה אזורית,מרכז,ברנר,5528,0,3,125,4,18,96,13,128,183,12,5,3,130,162,7.713863309640651,12.574762619759039,202308,21240.146773187640065,12574762.619759038090706
-1,0,גיבתון,196,מועצה אזורית,מרכז,ברנר,5528,,,,,,,,,,,,,,,0.000000000000000,0.345913394986638,202308,3473.066353278362385,345913.394986637693364
-1,56,גן שלמה,144,מועצה אזורית,מרכז,ברנר,5528,0,5,81,1,10,63,9,86,112,8,2,2,71,95,16.024411335052033,3.494668155297834,202308,12146.087830613912956,3494668.155297834426165
-1,10,קדרון,615,מועצה אזורית,מרכז,ברנר,5528,0,1,12,0,1,9,0,13,19,1,0,1,11,19,1.591901009301111,6.281797637901041,202308,14602.518922084565929,6281797.637901040725410
-1,3380,בת ים,6200,עירייה,תל אביב,בת ים,6200,12,134,3759,687,477,2524,724,3905,5613,617,88,208,2510,4470,359.165974367919603,9.410690993066126,202308,15594.554674326442182,9410690.993066126480699
-1,1085,ג'דיידה - מכר,1292,מועצה מקומית,צפון,ג'דיידה - מכר,1292,4,15,2273,42,533,1677,76,2292,2043,38,45,27,1299,1620,119.325569023902247,9.092770383375774,202308,17953.251761311476002,9092770.383375773206353
-1,108,ג'וליס,485,מועצה מקומית,צפון,ג'וליס,0485,0,1,164,6,32,125,5,165,177,7,2,6,104,138,27.013619987582366,3.997983241403614,202308,11448.090721651717104,3997983.241403613705188
-1,90,ג'לג'וליה,627,מועצה מקומית,מרכז,ג'לג'וליה,0627,0,5,134,3,21,107,10,139,177,4,11,4,100,137,47.537144413077954,1.893256339041688,202308,11982.742465584509773,1893256.339041688013822
-1,138,ג'סר אל-זרקא,541,מועצה מקומית,חיפה,ג'סר אל-זרקא,0541,1,11,155,55,62,95,6,167,214,1,9,20,103,174,68.220425788565834,2.022854568919001,202308,7304.568671080146487,2022854.568919000681490
